block,Total Employment
130630404162005,1136
130630404162006,63
130630404162012,21
130630404162026,1
130630404162027,2
130630404162029,56
130630404162030,322
130630404162031,169
130630404162032,7
130630404162033,46
130630404171000,119
130630404171001,408
130630404172004,11
130630404172008,22
130630404173000,12
130630404173001,109
130630404173002,833
130630404173004,50
130630404173005,17
130630404173006,49
130630404173007,2312
130630404173008,10
130630404173011,429
130630405091035,1
130630405091038,4
130630405092013,96
130630405092014,2
130630405101000,52
130630405101004,5
130630405101011,10
130630405101014,1
130630405102002,7
130630405102007,172
130630405102009,1
130630405102010,928
130630405102012,2
130630405102025,7
130630405121000,8
130630405121001,153
130630405121002,1
130630405122000,40
130630405122001,100
130630405122005,10
130630405122006,19
130630405122008,18
130630405122010,135
130630405131005,5
130630405131007,3
130630405131010,1
130630405131012,13
130630405131013,19
130630405131014,4
130630405132000,3
130630405132004,1
130630405132005,4
130630405132006,2
130630405132008,1
130630405132021,7
130630405133001,29
130630405133011,8
130630405133016,2
130630405133022,1
130630405133024,128
130630405133031,72
130630405141002,155
130630405141004,1
130630405142000,2
130630405142001,1
130630405142004,1
130630405143000,54
130630405143002,55
130630405143004,12
130630405143007,1
130630405143009,41
130630405143012,327
130630405143018,114
130630405151001,71
130630405151003,27
130630405151006,8
130630405151007,3
130630405151010,112
130630405153001,253
130630405153003,1
130630405153006,5
130630405153010,9
130630405153012,4
130630405154001,17
130630405154003,3
130630405154013,19
130630405161000,125
130630405161001,46
130630405161005,13
130630405161010,22
130630405161020,2
130630405161025,1
130630405161030,7
130630405162000,9
130630405162004,288
130630405162006,2
130630405162007,2
130630405163008,2
130630405181000,1
130630405181005,2
130630405182005,7
130630405182011,3
130630405191000,6
130630405191001,29
130630405192001,37
130630405192002,35
130630405201002,67
130630405202000,384
130630405202001,367
130630405202002,100
130630405203002,9
130630405203004,16
130630405203006,9
130630405211000,2
130630405211005,95
130630405211007,1
130630405211011,5
130630405212013,17
130630405212018,3
130630405212025,1
130630405221007,1328
130630405221011,907
130630405221012,11
130630405221014,1
130630405221017,292
130630405221020,159
130630405221022,104
130630405221023,216
130630405221024,80
130630405221029,5
130630405222000,30
130630405222001,3
130630405222004,6
130630405222005,136
130630405223000,2070
130630405223009,1
130630405223010,2
130630405223013,9
130630405223018,42
130630405223020,61
130630405231001,8
130630405231002,9
130630405231008,8
130630405231012,1
130630405231013,183
130630405231015,10
130630405231017,300
130630405231024,100
130630405231025,1
130630405231031,5
130630405231033,2
130630405231036,97
130630405241000,9
130630405241001,6
130630405241002,2
130630405242004,10
130630405242007,1
130630405242010,58
130630405242012,24
130630405243000,4
130630405243009,1
130630405243011,7
130630405244000,12
130630405244010,3
130630405244012,3
130630405244018,2
130630405251005,7
130630405251007,2
130630405261004,2
130630405262002,1
130630405262004,2
130630405262013,9
130630405262019,5
130630405263000,6
130630406061002,10
130630406061003,123
130630406061004,36
130630406061005,341
130630406061007,2
130630406061011,1
130630406061027,69
130630406061032,67
130630406061039,6
130630406061045,1
130630406061046,339
130630406062002,326
130630406062003,3
130630406062006,6
130630406062017,16
130630406062018,10
130630406062019,6
130630406062020,253
