block,Total Employment
131210089024020,5
131210089024023,18
131210089024027,1
131210089024029,49
131210089024030,93
131210089031003,18
131210089031005,1
131210089031007,32
131210089031008,25
131210089031009,145
131210089031011,34
131210089031012,259
131210089031013,51
131210089031014,227
131210089041000,6
131210089041001,6
131210089041004,1
131210089041007,17
131210089041013,20
131210089041020,2
131210089041021,1
131210089042002,12
131210089042009,122
131210089042011,168
131210089042012,92
131210089043001,4
131210089043002,10
131210089043009,4
131210089043011,2
131210089043012,2
131210089043020,2
131210089043022,4
131210089043024,699
131210089043028,1
131210089043034,463
131210090001002,467
131210090001005,1
131210090001007,5
131210090001012,22
131210090001013,3
131210090001015,1
131210090001018,1
131210090002000,9
131210090002001,2
131210090002002,1
131210090002004,4
131210090002005,5
131210090002007,15
131210090002008,3
131210090002010,2
131210090002011,2
131210090002013,8
131210090002014,1
131210090002015,2
131210090002018,1
131210090002020,4
131210090003002,2
131210090003003,84
131210090003004,310
131210090003005,60
131210090003006,84
131210090003007,34
131210090003008,1
131210090003011,1
131210090003012,3
131210091011001,374
131210091011002,2
131210091011005,1
131210091011008,10
131210091011009,4
131210091012000,7
131210091012001,3
131210091012002,8
131210091012005,3
131210091012006,152
131210091012008,5
131210091012011,11
131210091012012,1
131210091013001,309
131210091013003,1
131210091013004,1585
131210091013006,7172
131210091014000,4
131210091014001,916
131210091014002,367
131210091014003,337
131210091014004,95
131210091014005,1
131210091014006,45
131210091021000,2
131210091021001,2
131210091021002,11
131210091021003,1
131210091021004,2
131210091021005,2
131210091021006,11
131210091021008,832
131210091021009,279
131210091022001,1123
131210091022004,857
131210091022009,798
131210091022011,9
131210091023000,617
131210092001005,52
131210092001009,77
131210092001010,224
131210092001018,12
131210092001020,280
131210092001021,119
131210092001022,29
131210092001023,77
131210092001029,4
131210092001030,106
131210092001031,933
131210092001032,42
131210092001033,561
131210092001036,7
131210092001039,1
131210092001040,3
131210092001041,66
131210092001042,2
131210092002001,172
131210092002002,226
131210092002003,60
131210092002004,45
131210092002005,159
131210092002006,10
131210092002009,11
131210092002010,9
131210092002011,3
131210092002012,2
131210092003000,160
131210092003001,4
131210092003004,148
131210092003005,1
131210092003006,1
131210092003009,9
131210092003025,137
131210092003027,274
131210092003028,67
131210092003029,23
131210092003030,6
131210092003031,186
131210092003032,229
131210092003033,164
131210093001000,32
131210093001001,3
131210093001002,14
131210093001003,5
131210093001004,69
131210093001007,4
131210093001008,1
131210093002000,523
131210093002001,34
131210093002002,3
131210093002003,4
131210093002008,3
131210093003002,28
131210093003003,25
131210093003006,1
131210093003007,598
131210093003008,2
131210093003010,16
131210093003011,8
131210093003013,3
131210093003015,16
131210093004002,14
131210093004004,67
131210093004005,5
131210093004007,6
131210093004008,41
131210093004009,3
131210094021000,207
131210094021001,1
131210094021002,108
131210094021003,6483
131210094021004,21
131210094021006,46
131210094021008,240
131210094021009,54
131210094021010,4
131210094021011,1
131210094021018,5
131210094022000,47
131210094022003,7
131210094022007,1203
131210094022008,79
131210094022011,2
131210094022017,3
131210094022018,27
131210094022019,28
131210094022021,35
131210094031000,75
131210094031002,4
131210094031003,3
131210094031004,116
131210094031006,15
131210094032000,140
131210094032001,15
131210094032003,187
131210094033013,122
131210094033015,45
131210094033016,681
131210094041000,4
131210094041001,33
131210094041003,29
131210094041004,2
131210094041005,2
131210094041006,57
131210094041007,1
131210094042002,117
131210094042006,72
131210094042009,1
131210094042012,6
131210094042016,11
131210094042017,3
131210094043001,5
131210094043002,7
131210094043004,3
131210094043006,29
131210095011001,120
131210095011004,3
131210095011008,1
131210095011009,4
131210095011011,3
131210095011012,14
131210095011015,4
131210095011019,9
131210095011020,1
131210095012001,65
131210095012003,3
131210095012004,6
131210095012005,22
131210095012006,2
131210095012009,1
131210095012010,2
131210095012011,162
131210095012015,4
131210095012017,6
131210095013000,3
131210095013002,2
131210095013003,8
131210095013007,5
131210095013008,4
131210095013010,254
131210095013013,10
131210095013016,65
131210095013017,17
131210095013018,421
131210095021000,7
131210095021002,4
131210095021003,2
131210095021004,14
131210095021005,63
131210095021006,8
131210095021007,24
131210095021008,296
131210095021009,307
131210095021010,775
131210095021011,2
131210095021012,1
131210095021013,266
131210095021015,2
131210095021016,106
131210095021017,561
131210095022000,366
131210095023000,11
131210095023001,273
131210095023002,2339
131210095024001,753
131210095024004,49
131210096011001,1229
131210096011004,312
131210096011006,30
131210096011007,43
131210096012000,10
131210096012001,4329
131210096021000,451
131210096021003,8
131210096022000,154
131210096022001,452
131210096022002,1846
131210096022003,1
131210096022005,36
131210096022006,42
131210096022007,2
131210096022008,21
131210096022009,17
131210096022010,63
131210096023000,1328
131210096023001,985
131210096023002,19243
131210096023007,463
131210096023008,7
131210096023009,391
131210096023010,11
131210096023011,22
131210096023012,10
131210096023013,3018
131210096023015,3
131210096023016,429
131210096023017,143
131210096023018,129
131210096023019,322
131210096023021,141
131210096023022,717
131210096031000,980
131210096031001,551
131210096031002,353
131210096031003,102
131210096031004,27
131210096031005,8
131210096031006,240
131210096031007,579
131210096031008,138
131210096031009,341
131210096031010,17
131210096031011,112
131210096031012,50
131210096031013,19
131210096031014,2
131210096031015,402
131210096031016,699
131210096031017,13
131210096032000,651
131210096032002,92
131210096032003,14
131210096032004,28
131210096032005,42
131210096033000,450
131210096033001,17
131210096033002,46
131210096033003,84
131210096033004,549
131210096033005,2
131210096033006,9
131210096033008,24
131210096033009,2
131210096033010,5
131210096033012,2
131210096033014,4
131210096033015,2
131210097001002,219
131210097001003,2
131210097001004,733
131210097001015,32
131210097001016,14
131210097001018,11
131210097001026,3
131210097002000,6
131210097002001,25
131210097002004,2
131210097002006,2
131210097002008,771
131210097002011,5
131210097002013,3
131210097002014,16
131210097002017,2
131210097002018,1
131210097002025,1
131210097003000,38
131210097003003,1
131210097003011,3
131210097003012,18
131210097003013,3
131210097003014,41
131210097003017,1
131210097003019,10
131210097003024,2
131210097003025,4
131210098011000,119
131210098011003,826
131210098011004,1
131210098011006,2074
131210098011008,3
131210098011009,6
131210098011014,8
131210098012000,19
131210098012002,355
131210098012003,88
131210098012005,529
131210098012009,2
131210098012010,81
131210098012011,14
131210098012012,6
131210098013000,1
131210098013002,5
131210098013004,7
131210098013005,2
131210098013008,167
131210098013014,12
131210098013015,4
131210098013017,66
131210098013021,1
131210098013022,2
131210098013023,3
131210098013026,24
131210098021000,3
131210098021003,2
131210098021004,11
131210098021005,1
131210098021007,2
131210098021008,863
131210098021013,5
131210098021014,6
131210098021015,1
131210098021017,25
131210098021020,1
131210098021022,8
131210098021025,1
131210098021027,1
131210098021032,5
131210098021033,137
131210098021034,126
131210098021035,2
131210098022000,7
131210098022001,12
131210098022002,7
131210098022007,187
131210098022009,16
131210098022012,11
131210098022014,5
131210098022015,53
131210098022020,8
131210098022021,1
131210098022028,43
131210098022031,860
131210098022035,278
131210098022036,348
131210098022037,3
131210098022038,16
131210098022041,1
131210099001000,442
131210099001001,2
131210099001003,56
131210099001006,1
131210099001011,3
131210099001013,29
131210099001015,2
131210099001016,48
131210099002000,105
131210099002002,490
131210099002004,13
131210099002006,4
131210099002007,2
131210099002008,2
131210099002009,2
131210099002010,41
131210099002011,56
131210099002012,2
131210099003001,1
131210099003002,7
131210099003003,3
131210099003004,8
131210099003005,27
131210099003006,3
131210099003007,1
131210099003009,11
131210099003011,1
131210099003012,14
131210099004000,200
131210099004002,4
131210099004003,5
131210099004004,2
131210099004005,33
131210099004006,14
131210099004007,51
131210099004013,4
131210100011003,4110
131210100011007,9722
131210100011008,3142
131210100011010,2
131210100011012,492
131210100011013,510
131210100011014,1
131210100012000,160
131210100012001,299
131210100012005,208
131210100012006,534
131210100012010,2
131210100012012,11
131210100012015,2
131210100012016,6
131210100013010,5
131210100013012,4
131210100013018,1
131210100013019,13
131210100013020,1
131210100014000,144
131210100014003,7
131210100014004,3
131210100014006,517
131210100021000,1
131210100021002,3
131210100021003,1
131210100021005,29
131210100021008,1
131210100021010,8
131210100021011,1
131210100021014,8
131210100021015,6
131210100021017,1
131210100021019,20
131210100021021,2
131210100021022,5
131210100021025,3
131210100021027,11
131210100021031,297
131210100022000,7
131210100022001,48
131210100022003,8
131210100022005,7
131210100022006,5
131210100022009,3
131210100022010,7
131210100022011,191
131210100022013,2
131210100022015,11
131210100022017,3
131210100022019,1
131210100022020,6
131210100023000,2
131210100023003,4
131210100023004,201
131210100023007,5
131210100023008,2
131210100023010,12
131210100023013,6
131210100023015,2
131210100023017,398
131210100023019,10
131210100023021,3
131210100023023,1229
131210100023025,4258
131210100023026,2
131210100023027,10001
131210100023028,244
131210101061002,204
131210101061005,2
131210101061011,50
131210101061026,114
131210101062003,2
131210101062004,4
131210101063000,4
131210101063002,11
131210101063007,8
131210101063009,2
131210101063011,1
131210101063012,1
131210101071000,1
131210101071002,4
131210101071005,12
131210101071007,6
131210101071009,6
131210101071010,6
131210101071011,3
131210101071013,14
131210101071014,153
131210101072004,4
131210101072008,93
131210101072014,51
131210101072015,3
131210101081000,6
131210101081001,45
131210101081002,25
131210101081003,2
131210101081004,3
131210101081005,1
131210101081007,2
131210101082001,64
131210101082003,4
131210101082005,10
131210101082006,7
131210101082007,5
131210101082016,91
131210101082018,2
131210101082023,883
131210101082026,86
131210101082027,1
131210101082028,2
131210101101000,16
131210101101001,402
131210101101002,38
131210101101003,189
131210101101006,319
131210101101009,3231
131210101101010,635
131210101101015,3
131210101101019,255
131210101101020,4
131210101101021,29
131210101101023,125
131210101101024,616
131210101101025,30
131210101101026,1
131210101101027,1
131210101101028,2
131210101101029,2
131210101101030,217
131210101101032,1392
131210101101033,669
131210101101034,563
131210101101035,3391
131210101101036,2785
131210101101038,1930
131210101101039,13342
131210101101040,417
131210101101041,325
131210101101048,767
131210101102000,2397
131210101102002,12
131210101102004,30
131210101102006,133
131210101103002,3
131210101103003,768
131210101103004,21
131210101103005,5
131210101103007,3
131210101103009,3
131210101103010,12
131210101103011,1
131210101103016,195
131210101103017,2
131210101131001,942
131210101131005,404
131210101131006,8
131210101132000,2
131210101132003,4
131210101132005,3
131210101132008,7
131210101133007,1405
131210101133008,4
131210101133009,733
131210101133010,1360
131210101133011,3
131210101133013,150
131210101133019,79
131210101141000,204
131210101141002,1
131210101141004,5
131210101142002,2
131210101142006,2
131210101142007,153
131210101142008,9
131210101142009,6
131210101142015,13
131210101142017,1
131210101142022,166
131210101142023,1
131210101142025,26
131210101142026,70
131210101142027,7
131210101143000,125
131210101143001,7
131210101143002,35
131210101143003,215
131210101143005,37
131210101143006,2
131210101151000,392
131210101151002,26
131210101151003,860
131210101151004,2719
131210101151005,2605
131210101151006,1261
131210101151007,4340
131210101151008,1463
131210101151012,3
131210101151013,753
131210101151015,4
131210101151022,3545
131210101151023,2
131210101151025,10
131210101151028,13
131210101151029,104
131210101151031,7
131210101151032,5
131210101151034,1
131210101151035,10
131210101151036,4
131210101151037,2
131210101151043,8
131210101171003,3
131210101171004,9
131210101171013,3
131210101171016,7
131210101172001,388
131210101172003,8
131210101172006,235
131210101172007,138
131210101181000,443
131210101181003,3
131210101181008,32
131210101181012,506
131210101181013,91
131210101181014,11
131210101181015,145
131210101182000,5
131210101182002,82
131210101182004,1
131210101182006,1
131210101182007,1
131210101183001,12
131210101183008,2
131210101183009,6
131210101191000,860
131210101191001,305
131210101191002,281
131210101191004,497
131210101191006,45
131210101191007,1074
131210101191008,1087
131210101191009,1241
131210101192000,336
131210101193000,87
131210101193004,5
131210101201001,32
131210101201002,1
131210101201004,6
131210101201005,7
131210101201009,162
131210101201014,17
131210101201017,1
131210101201018,39
131210101211001,8
131210101211002,462
131210101211003,20
131210101211004,329
131210101211005,1051
131210101211006,471
131210101211009,8
131210101221001,2
131210101221002,7
131210101221005,132
131210101221008,21
131210101221010,98
131210101221015,1
131210101221016,1
131210101221017,2
131210101221018,2
131210101221019,3
131210101222001,11
131210101222002,77
131210101222004,401
131210101222008,1336
131210101222011,3
131210101222012,5
131210101222018,4
131210101222020,5790
131210101222021,585
131210101222023,9
131210101222026,1
131210101222027,85
131210101223000,111
131210101223003,4
131210101223007,1703
131210101231001,2686
131210101231003,2
131210101231004,5
131210101231009,11
131210101231015,4477
131210101232000,13
131210101232003,58
131210101232006,3
131210101232007,39
131210101232008,6
131210101233001,2275
131210101233002,712
131210101233003,76
131210101233005,132
131210102041000,12
131210102041005,73
131210102041006,7
131210102041007,2
131210102041009,15
131210102042001,7
131210102042004,3
131210102042006,12
131210102042008,12
131210102042009,10
131210102042010,2
131210102042015,1
131210102042016,4
131210102043000,1
131210102043002,6
131210102043003,19
131210102043006,1
131210102043007,1131
131210102043009,1
131210102043012,11
131210102043013,4097
131210102043014,1
131210102043019,1166
131210102043020,891
131210102043021,57
131210102044000,23
131210102044001,3
131210102044002,3
131210102044003,3
131210102044004,2
131210102044005,2
131210102051000,220
131210102051001,2
131210102051005,21
131210102052000,213
131210102052004,29
131210102052005,211
131210102052006,109
131210102052007,126
131210102052008,200
131210102053001,9
131210102053003,4
131210102053004,389
131210102053005,14
131210102053007,3
131210102053009,73
131210102053011,239
131210102053013,20
131210102053014,4
131210102053015,22
131210102053016,6
131210102053017,65
131210102053018,73
131210102053019,5
131210102053022,3
131210102054000,737
131210102054001,27
131210102054004,269
131210102054005,270
131210102054006,75
131210102054008,837
131210102054009,519
131210102054011,225
131210102054012,2
131210102054014,3
131210102054018,26
131210102054020,201
131210102054021,69
131210102054022,34
131210102054023,204
131210102061001,1
131210102061002,2
131210102061004,6
131210102061006,356
131210102061008,320
131210102061011,3
131210102061012,5
131210102061013,90
131210102061014,9
131210102061017,5
131210102061018,208
131210102061027,9
131210102062000,1116
131210102062001,616
131210102062002,38
131210102062004,6
131210102062006,989
131210102062008,6
131210102062009,32
131210102062011,54
131210102062013,4
131210102062014,4
131210102062015,38
131210102062018,5
131210102063000,58
131210102063002,59
131210102063005,1
131210102063006,17
131210102063007,52
131210102063010,1
131210102081001,407
131210102081002,57
131210102081005,9
131210102081006,74
131210102081008,11
131210102081012,456
131210102081015,1
131210102081016,127
131210102081017,2
131210102081019,1
131210102081021,46
131210102081022,3
131210102082000,66
131210102083000,793
131210102091000,119
131210102091001,438
131210102092000,31
131210102092001,14
131210102092002,62
131210102092003,1149
131210102092005,44
131210102092007,9
131210102092011,1
131210102093000,147
131210102093001,12
131210102093003,1
131210102093006,887
131210102101000,97
131210102102000,19
131210102102004,1
131210102102005,1
131210102102007,10
131210102102009,2
131210102102011,8
131210102102013,3
131210102102014,26
131210102102015,1
131210102102017,9
131210102102018,3
131210102103000,13
131210102103004,1
131210102103005,1
131210102103007,5
131210102103009,67
131210102103010,5
131210102103013,7
131210102103015,17
131210102103016,1
131210102103020,1
131210102111000,3
131210102111001,21
131210102111003,1
131210102111004,2
131210102111009,16
131210102111010,5
131210102111012,2
131210102111013,2
131210102111014,6
131210102111015,21
131210102112000,124
131210102112001,15
131210102112002,9
131210102112004,2
131210102112005,123
131210102112006,1
131210102112007,2
131210102112009,3
131210102112010,3
131210102112013,4
131210102112014,18
131210102112016,1
131210102112021,1
131210102112024,6
131210102112025,7
131210102112029,14
131210102112030,201
131210102112031,425
131210102112032,9
131210102112033,104
131210102112034,187
131210102121001,23
131210102121002,6
131210102121003,20
131210102121004,4
131210102122000,41
131210102122001,2
131210102122005,5
131210102122007,2
131210102123000,518
131210102123001,22
131210102123003,106
131210102123004,506
131210102123005,38
131210102123006,27
131210102123007,71
131210102123008,30
131210102123009,622
131210102123010,2
131210103011000,32
131210103011005,1
131210103011009,30
131210103011021,10
131210103011030,2
131210103011033,7
131210103011038,8
131210103011041,2
131210103011045,7
131210103011048,5
131210103011049,77
131210103011056,3
131210103011065,1
131210103011069,3
131210103011075,1
131210103011077,5
131210103011083,51
131210103011084,46
131210103011093,70
131210103011097,99
131210103011098,39
131210103011100,4
131210103011105,1
131210103011108,2
131210103012000,59
131210103012001,1
131210103012004,3
131210103012009,1
131210103012012,4
131210103012014,2
131210103012024,1
131210103012027,11
131210103012034,4
131210103012037,10
131210103012039,312
131210103012040,29
131210103012042,2
131210103031000,160
131210103031004,2
131210103031008,4
131210103031015,9
131210103031017,2
131210103031035,6
131210103032001,60
131210103032002,56
131210103032003,68
131210103032004,303
131210103032005,186
131210103032008,843
131210103032010,289
131210103032016,218
131210103032017,55
131210103032018,263
131210103032019,334
131210103032021,258
131210103032025,18
131210103032027,1
131210103032029,942
131210103032030,77
131210103032031,169
131210103032032,205
131210103032033,40
131210103032034,488
131210103032035,233
131210103032036,9
131210103032038,3
131210103032039,5
131210103032042,1
131210103032044,1
131210103032046,707
131210103032050,318
131210103032051,277
131210103032052,613
131210103032053,744
131210103032054,1074
131210103032055,24
131210103032057,349
131210103032058,468
131210103032059,1579
131210103032060,157
131210103032061,562
131210103032062,107
131210103032063,816
131210103032064,1591
131210103032071,38
131210103032072,6
131210103032073,16
131210103032083,3
131210103032087,43
131210103041000,22
131210103041003,1
131210103041005,154
131210103041008,38
131210103041015,86
131210103041017,21
131210103041024,3
131210103041027,11
131210103041031,9
131210103041035,6
131210103042003,472
131210103042009,7
131210103042013,5
131210103042016,4
131210103042018,4
131210103042022,3
131210103042027,19
131210103042029,9
131210103042034,1
131210103042036,27
131210103042042,13
131210103042046,4
131210103042050,18
131210103042056,15
131210103042062,237
131210103042069,6
131210103042070,1
131210103042072,134
131210103042080,12
131210103042093,13
131210103042114,2
131210104001000,2
131210104001024,3
131210104001031,48
131210104001032,1
131210104001033,50
131210104001051,7
131210104001072,77
131210104001078,2
131210104001097,4
131210104001105,12
131210104002005,5
131210104002008,3
131210104002009,8
131210104002010,87
131210104002011,121
131210104002013,1
131210104002015,7
131210104002025,3
131210104002051,35
131210104002056,2
131210104002060,12
131210104002063,2
131210104003003,6
131210104003012,2
131210104003015,1
131210104003031,158
131210104003039,12
131210104003044,26
131210104003048,19
131210104003051,26
131210104003053,27
131210104003056,2
131210104003065,40
131210104003070,111
131210104003074,69
131210104003080,3
131210104003084,3
131210104003095,5
131210104004000,83
131210104004003,4
131210104004006,9
131210104004007,5
131210104004008,3
131210104004009,11
131210104004010,2
131210104004025,10
131210104004026,13
131210104004027,6
131210104004028,23
131210104004029,55
131210104004037,20
131210104004038,21
131210104004049,1
131210105071003,14
131210105071005,120
131210105071006,78
131210105071008,19
131210105071023,6
131210105071024,267
131210105071029,1
131210105071034,2
131210105072000,56
131210105072003,227
131210105072004,137
131210105072007,1
131210105073001,23
131210105073005,3
131210105073016,174
131210105073021,78
131210105073034,64
131210105073050,138
131210105073055,1
131210105074000,44
131210105074001,28
131210105074015,1
131210105074016,101
131210105081004,10
131210105081009,5
131210105081011,63
131210105081013,6
131210105081020,4
131210105081033,803
131210105081039,8
131210105081043,20
131210105101004,74
131210105101030,5
131210105101031,3
131210105101035,17
131210105101036,14
131210105102000,424
131210105102008,1354
131210105102009,5
131210105102014,267
131210105102015,520
131210105102016,1
131210105102019,97
131210105102022,123
131210105103000,67
131210105103005,12
131210105103006,37
131210105103017,57
131210105103018,491
131210105103019,163
131210105103020,83
131210105103024,186
131210105103035,289
131210105103045,1
131210105103053,271
131210105103059,37
131210105103078,5
131210105103079,373
131210105103088,37
131210105103090,284
131210105103095,889
131210105103103,27
131210105103106,1
131210105103117,36
131210105103119,65
131210105103127,126
131210105103128,35
131210105103129,7
131210105103130,47
131210105103132,62
131210105103136,203
131210105103137,34
131210105103141,176
131210105103146,111
131210105103157,2
131210105103161,2
131210105103171,7
131210105103181,67
131210105103197,2
131210105103199,8
131210105103202,2
131210105103211,264
131210105103212,86
131210105103218,36
131210105103221,12
131210105104001,33
131210105104003,4
131210105104006,2
131210105104007,4
131210105104008,2
131210105104013,1
131210105111000,510
131210105111011,12
131210105111019,4
131210105111029,5
131210105111036,303
131210105111047,231
131210105111050,43
131210105111054,25
131210105111057,15
131210105112006,395
131210105112007,3486
131210105112008,3
131210105112012,1
131210105112020,473
131210105112022,5
131210105112029,808
131210105112044,37
131210105112051,1053
131210105112056,139
131210105112057,86
131210105112061,24
131210105112062,44
131210105113001,24
131210105113005,172
131210105113007,20
131210105113010,5
131210105121000,60
131210105121019,61
131210105121020,196
131210105121021,118
131210105121022,161
131210105121024,12
131210105122002,711
131210105122005,30
131210105122006,4
131210105122009,14
131210105122013,82
131210105122020,18
131210105122022,13
131210105122023,24
131210105122030,11
131210105122033,56
131210105122034,5
131210105123000,25
131210105123008,2476
131210105123009,18
131210105123010,4
131210105123019,98
131210105123022,17
131210105123025,21
131210105131001,63
131210105131006,134
131210105131010,2
131210105131015,692
131210105131018,1
131210105131030,333
131210105131032,58
131210105131035,802
131210105131041,70
131210105131050,24
131210105131051,3
131210105131060,2
131210105131063,6
131210105131070,68
131210105131072,95
131210105131073,3
131210105131074,3
131210105131076,7
131210105131079,6
131210105131087,50
131210105131091,8
131210105131094,5
131210105131100,35
131210105131101,41
131210105131115,2
131210105132002,233
131210105132013,239
131210105132015,59
131210105132018,47
131210105132019,13
131210105132020,1626
131210105132029,37
131210105132033,33
131210105132034,9
131210105132041,1
131210105132044,14
131210105132045,449
131210105132047,13
131210105132051,2
131210105132060,26
131210105133001,5
131210105133002,1
131210105133013,3
131210105133018,30
131210105133020,13
131210105133023,9
131210105133033,91
131210105133042,120
131210105133046,2
131210105133050,91
131210105133058,33
131210105133071,76
131210105133072,24
131210105133077,8
131210105141000,17
131210105141001,3
131210105141011,4
131210105141019,24
131210105141021,11
131210105141036,9
131210105141038,100
131210105141045,2
131210105141049,2
131210105141052,1
131210105141062,1
131210105141074,3
131210105141075,9
131210105141076,121
131210105141078,131
131210105141080,12
131210105141081,5
131210105141082,16
131210105141084,1
131210105142003,10
131210105142009,48
131210105142014,22
131210105142020,1
131210105142025,13
131210105142028,19
131210105142032,2
131210105142041,2
131210105142044,1
131210105142045,227
131210105142052,4
131210105142056,96
131210105142064,4
131210105142066,33
131210105142068,30
131210105142070,11
131210105142074,20
131210105142075,332
131210105142083,58
131210105142087,62
131210105142096,100
131210105142097,120
131210105142103,69
131210105142109,12
131210105143000,4
131210105143003,241
131210105143009,10
131210105143013,12
131210105143021,49
131210105143023,98
131210105143024,14
131210105143025,245
131210105143028,224
131210105143038,4
131210105143045,20
131210105143046,354
131210105143048,48
131210105143050,2
131210105143051,54
131210105143054,8
131210105143057,1
131210105143061,2
131210105143063,427
131210105143067,1
131210105143071,24
131210105143072,81
131210105143073,6
131210105143075,9
131210105143078,2
131210105151000,64
131210105151004,13
131210105151005,8
131210105151008,1
131210105151012,8
131210105151016,25
131210105151017,4
131210105151018,5
131210105151019,5
131210105151022,39
131210105151030,40
131210105151033,410
131210105151044,25
131210105161000,820
131210105161013,14
131210105161017,88
131210105162000,9
131210105162003,52
131210105162005,58
131210105162020,28
131210105162028,9
131210105162029,21
131210105163000,3
131210106011002,3
131210106011003,4
131210106011005,1
131210106011008,1
131210106011012,2
131210106011023,4
131210106012002,52
131210106012003,12
131210106012004,15
131210106012008,72
131210106012011,20
131210106013002,2
131210106013007,1
131210106014000,13
131210106014003,9
131210106014006,3
131210106014008,28
131210106014009,28
131210106014010,5
131210106014014,57
131210106014016,4
131210106031000,3
131210106031001,13
131210106031007,9
131210106031013,9
131210106031020,10
131210106031029,47
131210106031030,5
131210106031031,39
131210106031032,1
131210106031034,18
131210106031039,16
131210106031040,14
131210106031041,6
131210106031042,10
131210106031047,3
131210106031048,2024
131210106031052,3
131210106031058,431
131210106032001,9
131210106033000,22
131210106033003,52
131210106041001,898
131210106041002,255
131210106041005,285
131210106041007,170
131210106041008,425
131210106041009,419
131210106041031,536
131210106041032,441
131210106042000,7
131210106042002,1
131210106042005,30
131210106042006,174
131210106042010,47
131210106043003,4
131210106043011,21
131210106043013,2
131210106043021,5
131210106043022,8
131210106043023,4
131210108001001,17
131210108001006,84
131210108001010,44
131210108001011,558
131210108001016,248
131210108001021,1
131210108001022,26
131210108001024,7
131210108001025,41
131210108002003,7
131210108002004,14
131210108002006,2
131210108002012,96
131210108002013,2
131210108002015,113
131210108002018,8
131210108002019,12
131210108003000,371
131210108003001,36
131210108003002,7
131210108003003,3
131210108003014,11
131210108003022,15
131210108003025,11
131210108003028,2801
131210108003030,6
131210108003034,1
131210108003035,6
131210108003036,625
131210108003037,20
131210108003041,23
131210108003042,104
131210108003043,132
131210108003044,655
131210108003047,42
131210108003048,1004
131210108003049,877
131210108003054,13
131210108003056,231
131210108003057,41
131210108003058,229
131210108003059,18
131210108003062,13
131210108003064,6
131210108003066,641
131210108003072,3
131210108003074,2
131210108003078,22
131210108003079,75
131210108003082,43
131210108003083,67
131210108003086,155
131210108003098,21
131210108003101,93
131210108003102,258
131210108004001,65
131210108004002,1
131210108004007,2
131210108004014,15
131210108005001,9
131210108005008,176
131210108005014,8
131210108006001,5
131210108006006,2
131210108006011,12
131210108006017,21
131210108006020,39
131210108006021,3
131210108006023,1
131210110001000,15
131210110001002,3
131210110001003,3
131210110001010,52
131210110001011,183
131210110001012,6
131210110001014,1
131210110002002,795
131210110002003,174
131210110002005,314
131210110002008,1
131210110003000,27
131210110003001,10
131210110003003,82
131210110003004,2103
131210110003006,14
131210110003007,1
131210110003009,9
131210110003014,11
131210110003018,1
131210110003021,19
131210110004000,46
131210110004001,261
131210110004002,30
131210110004003,2
131210110004015,48
131210111001002,46
131210111001004,266
131210111001010,295
131210111001011,131
131210111001013,66
131210111001014,125
131210111001020,4
131210111001022,2
131210111001031,1
131210111001032,167
131210111002007,5
131210111002008,8
131210111002015,155
131210111002018,9
131210111002027,1
131210111002029,75
131210111002031,186
131210111002032,7
131210111002033,7
131210111002035,2
131210111002042,17
131210111002043,2
131210111003003,7
131210111003012,18
131210111003013,77
131210111003016,22
131210111003017,6
131210111003018,319
131210112011007,1
131210112011011,8
131210112011015,2
131210112011019,20
131210112012006,10
131210112012011,72
131210112012014,13
131210112013000,12
131210112013003,9
131210112013006,21
131210112013010,68
131210112013013,12
131210112013016,1
131210112013025,24
131210112013027,2
131210112013028,5
131210112013030,35
131210112013034,3
131210112021007,4
131210112021013,12
131210112022000,161
131210112023000,6
131210112023004,2
131210112023005,3
131210112023008,12
131210112023010,11
131210112023011,2
131210112023012,3
131210112023014,143
131210112023020,12
131210112023021,52
131210112023022,73
131210112023023,9
131210112023024,27
131210112023025,13
131210112023026,252
131210112023027,53
131210112023028,24
131210112023029,12
131210112023030,21
131210112023031,7
131210112023033,93
131210112023034,134
131210112023036,1
131210112023037,251
131210112024005,1
131210112024007,65
131210112024008,17
131210112024013,2
131210112024014,2
131210112024015,5
131210112024017,32
131210112025004,2
131210112026001,7
131210112026002,3
131210112026003,23
131210112026004,32
131210112026007,2
131210112026015,2
131210112026019,7
131210113011000,3
131210113011003,84
131210113011012,1
131210113011014,7
131210113013000,102
131210113014000,16
131210113014002,1
131210113014003,1
131210113014005,276
131210113014007,1
131210113014013,13
131210113015003,2
131210113015004,73
131210113015006,6
131210113015007,28
131210113015009,31
131210113016003,15
131210113016011,1
131210113031000,453
131210113031005,2
131210113031006,2
131210113031007,72
131210113031009,5
131210113031010,88
131210113031011,39
131210113031014,1
131210113031018,105
131210113031021,9
131210113031022,5
131210113032001,75
131210113033000,24
131210113033003,15
131210113033005,139
131210113033010,2
131210113034002,7
131210113034007,1
131210113035000,7
131210113035002,2
131210113035003,71
131210113035004,2
131210113035005,6
131210113035006,34
131210113035007,22
131210113035009,38
131210113035012,4
131210113051004,16
131210113051005,27
131210113051006,2
131210113052000,1
131210113052002,9
131210113052003,91
131210113053000,13
131210113053002,4
131210113053007,26
131210113061000,1770
131210113061001,138
131210113061006,1
131210113061007,1
131210113061010,38
131210113061014,662
131210113061015,124
131210113061027,13
131210113061032,13
131210113061034,3
131210113061038,5
131210113062000,680
131210113062002,1062
131210113062003,409
131210113062005,8
131210113062006,407
131210113062012,1
